local_timezone,timestamp,device_id,sensor,local_date_time,local_date,local_time,local_hour,local_minute,assigned_segments
Europe/Berlin,1762741654000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,2025-11-10 03:27:34,2025-11-10,03:27:34,3,27,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762741655000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,2025-11-10 03:27:35,2025-11-10,03:27:35,3,27,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762741886000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,4,2025-11-10 03:31:26,2025-11-10,03:31:26,3,31,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762742186000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,4,2025-11-10 03:36:26,2025-11-10,03:36:26,3,36,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762742187000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,2025-11-10 03:36:27,2025-11-10,03:36:27,3,36,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762742189000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,2025-11-10 03:36:29,2025-11-10,03:36:29,3,36,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762742485000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,4,2025-11-10 03:41:25,2025-11-10,03:41:25,3,41,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762742785000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,2025-11-10 03:46:25,2025-11-10,03:46:25,3,46,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762742793000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,2025-11-10 03:46:33,2025-11-10,03:46:33,3,46,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762743085000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,4,2025-11-10 03:51:25,2025-11-10,03:51:25,3,51,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762743386000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,2025-11-10 03:56:26,2025-11-10,03:56:26,3,56,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762743394000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,2025-11-10 03:56:34,2025-11-10,03:56:34,3,56,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762743395000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,2025-11-10 03:56:35,2025-11-10,03:56:35,3,56,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762743686000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,4,2025-11-10 04:01:26,2025-11-10,04:01:26,4,1,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762743918000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,4,2025-11-10 04:05:18,2025-11-10,04:05:18,4,5,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762743919000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,2025-11-10 04:05:19,2025-11-10,04:05:19,4,5,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762743921000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,2025-11-10 04:05:21,2025-11-10,04:05:21,4,5,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762744218000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,4,2025-11-10 04:10:18,2025-11-10,04:10:18,4,10,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762744518000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,4,2025-11-10 04:15:18,2025-11-10,04:15:18,4,15,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762744519000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,2025-11-10 04:15:19,2025-11-10,04:15:19,4,15,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762744817000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,4,2025-11-10 04:20:17,2025-11-10,04:20:17,4,20,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762745117000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,2025-11-10 04:25:17,2025-11-10,04:25:17,4,25,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762745118000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,2025-11-10 04:25:18,2025-11-10,04:25:18,4,25,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
